Species,Site,Plot,C/T,Plant ID,Date,FLWR PHENO Flwr Bud,FLWR PHENO Flwr Mat,FLWR PHENO Flwr Sen.,FLWR PHENO Cap twist,FLWR PHENO Seed Disp,FLWR PHE Aborted,Eaten,Height,PHENO,Flwr_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,17,T,574,219,,,1,,,,,53,Sen,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,18,C,584,219,,,4,,,,,52,Sen,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,18,C,582,219,,,2,,,,1,35,Sen,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,18,T,24R,219,,,4,4,,4,,60,Cap,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,Cassiope,18,T,25R,219,,,12,,,,,45,Sen,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryas,FERT,5,C,1F,219,,,5,,,,,31,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,,,,,,
Dryas,FERT,6,T,2F,219,,,4,,,,,28,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,,,,,,,
Dryas,FERT,6,T,3F,219,,,4,1,,,,95,Cap,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,
Dryas,FERT,7,C,4F,219,,,1,2,,,,61,Cap,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,
Dryas,FERT,8,T,5F,219,,,6,,,,,42,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,,,,,,,
Dryas,FERT,13,C,7F,219,,,,9,,,,74,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,,,,
Dryas,FERT,14,T,6F,219,,,1,3,,,,75,Cap,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,
Dryas,FERT,15,C,9F,219,,,5,,,,,64,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,,,,,,,
Dryas,FERT,16,T,8F,219,,,4,,,3,,62,Sen,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,
Dryas,FERT,21,C,11F,219,,,6,,,,,49,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,
Dryas,FERT,22,T,12F,219,,,5,1,,,,59,Cap,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,
Dryas,FERT,23,C,13F,219,,,3,2,,,,75,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,,,,,,,
Dryas,FERT,24,T,10F,219,,,5,,,,,63,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,,,,,,,
Dryas,FERT,29,C,16F,219,,,7,,,,,44,Sen,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,,,,,,,
Dryas,FERT,30,T,14F,219,,,,6,,1,,114,Cap,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,
Dryas,FERT,31,C,15F,219,,,8,1,,,,56,Cap,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,
Dryas,FERT,37,C,19F,219,,,5,,,,,49,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
Dryas,FERT,38,T,17F,219,,,2,,,,,62,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,
Dryas,FERT,39,C,20F,219,,,2,4,,,,61,Cap,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,
Dryas,FERT,40,T,18F,219,,,5,,,,,32,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,49,Sen,222,
Dryas,MEAD,1,C,446,219,,,3,,,,,49,Sen,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,55,Cap,222,
Dryas,MEAD,1,T,444,219,,,1,2,,,,95,Cap,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,47,Sen,222,
Dryas,MEAD,2,C,451,219,,,1,1,,,,55,Cap,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,74,Cap,222,
Dryas,MEAD,2,T,450,219,,,2,,,,,47,Sen,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,53,Sen,222,
Dryas,MEAD,3,C,1R,219,,,2,1,,,,74,Cap,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,58,Eat,222,
Dryas,MEAD,3,T,455,219,,,4,,,,,53,Sen,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,38,Sen,222,
Dryas,MEAD,4,T,2R,219,,,,,,2,,58,Eat,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,92,Cap,222,
Dryas,MEAD,5,C,4R,219,,,1,,,,,38,Sen,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,64,Cap,222,
Dryas,MEAD,5,T,3R,219,,,,3,,,,92,Cap,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,83,Sen,222,
Dryas,MEAD,6,C,468,219,,,3,2,,,,64,Cap,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,51,Sen,222,
Dryas,MEAD,6,T,466,219,,,7,,,,,83,Sen,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,72,Cap ,222,
Dryas,MEAD,7,C,473,219,,,1,,,2,,51,Sen,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,97,Cap,222,
Dryas,MEAD,7,T,470,219,,,2,1,,,,72,Cap ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,58,Sen,222,
Dryas,MEAD,8,C,5R,219,,,,3,,,,97,Cap,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,112,Cap,222,
Dryas,MEAD,8,T,4R,219,,,2,,,,,58,Sen,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,117,Cap,222,
Dryas,MEAD,9,C,8R,219,,,,2,,,,112,Cap,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,38,Sen,222,
Dryas,MEAD,9,T,6R,219,,,,2,,,,117,Cap,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,4,,,,44,Sen,222
Dryas,MEAD,10,C,7R,219,,,4,,,,,38,Sen,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,1,2,,,32,Cap,222
Dryas,DRYAS,1,C,5R,219,,,4,,,,,44,Sen,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,3,4,,,51,Cap,222
Dryas,DRYAS,1,C,6R,219,,,1,2,,,,32,Cap,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,3,1,,,49,Cap,222
Dryas,DRYAS,1,T,1,219,,,,5,,,,62,Cap,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,8,,,,38,Sen,222
Dryas,DRYAS,1,T,3,219,,,3,4,,,,51,Cap,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,1,,,,42,,222
Dryas,DRYAS,2,C,10,219,,,3,1,,,,49,Cap,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,,3,,,92,,222
Dryas,DRYAS,2,C,11,219,,,8,,,,,38,Sen,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,1,,,,12,,222
Dryas,DRYAS,2,T,8,219,,,1,,,,,42,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,1,,,,26,,222
Dryas,DRYAS,2,T,7,219,,,,3,,,,92,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,2,5,1,,45,Cap,222
Dryas,DRYAS,3,C,16,219,,,1,,,,,12,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,3,,,,32,Sen,222
Dryas,DRYAS,3,C,18,219,,,1,,,,,26,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,4,,,,38,,222
Dryas,DRYAS,3,T,13,219,,,2,5,,1,,45,Cap,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,21,,,,51,,222
Dryas,DRYAS,3,T,15,219,,,3,,,,,32,Sen,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,4,,,,41,,222
Dryas,DRYAS,4,C,22,219,,,4,,,,,38,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,3,10,,,75,Cap,222
Dryas,DRYAS,4,C,23,219,,,21,,,,,51,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,6,,,,48,,222
Dryas,DRYAS,4,T,19,219,,,4,,,,,41,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,4,,,,36,,222
Dryas,DRYAS,4,T,21,219,,,3,10,,,,75,Cap,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,3,,,,44,,222
Dryas,DRYAS,5,C,28,219,,,6,,,,,48,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,10,,,,53,,222
Dryas,DRYAS,5,C,30,219,,,4,,,,,36,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,5,,,,36,,222
Dryas,DRYAS,5,T,25,219,,,3,,,,,44,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,6,,,,51,,222
Dryas,DRYAS,5,T,4R,219,,,10,,,,,53,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,,4,,,41,,222
Dryas,DRYAS,6,C,34,219,,,5,,,,,36,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,1,,,,37,,222
Dryas,DRYAS,6,C,35,219,,,6,,,,,51,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,4,2,,,48,Cap,222
Dryas,DRYAS,6,T,31,219,,,,4,,,,41,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,4,,,,31,,222
Dryas,DRYAS,6,T,3R,219,,,1,,,,,37,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,6,,,,23,,222
