File	Total Reads	Aligned Reads	Unaligned Reads	Ambiguously Aligned Reads	No Genomic Sequence	Duplicate Reads (removed)	Unique Reads (remaining)	Total Cs	Methylated CpGs	Unmethylated CpGs	Methylated chgs	Unmethylated chgs	Methylated CHHs	Unmethylated CHHs
W1.C05.W1g1_WILL4W_417_13_R1_val_1_bismark_bt2_pe.bam	59762432	42006076	7816401	9939737	218	7749893	34256183	1110846132	36503123	81840759	21801357	132265141	25039791	813395961
W1.C08.W1g8_FERT22W_12F_111_R1_val_1_bismark_bt2_pe.bam	59741540	41687477	7931707	10122122	234	6597300	35090177	1186046399	39375005	86608964	21831408	142585460	20527016	875118546
W1.D09.W1f11_DRY6W_31_147_R1_val_1_bismark_bt2_pe.bam	50888360	35591163	7574446	7722517	234	5371701	30219462	1059213006	36700391	73397876	21111397	125986957	22109808	779906577
W1.D10.W1g12_MEAD7W_470_173_R1_val_1_bismark_bt2_pe.bam	60633509	42941053	7829679	9862558	219	6932487	36008566	1196498538	37150049	93525616	21161875	144642379	19590465	880428154
W1.E05.W1c2_CASS7W_600_19_R1_val_1_bismark_bt2_pe.bam	63086511	44142245	8609828	10334238	200	7287775	36854470	1234852451	43655926	82801336	24907879	146460004	23508405	913518901
W1.E07.W1g6_WILL10W_437_84_R1_val_1_bismark_bt2_pe.bam	66199271	46334828	8669728	11194425	290	7271856	39062972	1348402733	49887015	94217115	39102788	147465471	118705926	899024418
W1.E08.W1c9_MEAD1W_444_116_R1_val_1_bismark_bt2_pe.bam	57649851	40112421	8443344	9093837	249	6441463	33670958	1184875472	40783452	82736099	24006923	140693406	25633946	871021646
W1.F06.W1e5_CASS10W_544_60_R1_val_1_bismark_bt2_pe.bam	72316072	49747193	10658439	11910165	275	8735886	41011307	1432888597	49391520	99447682	27443783	171031842	26971193	1058602577
W1.G06.W1g5_WILL1W_403_67_R1_val_1_bismark_bt2_pe.bam	59526933	41746258	8553800	9226677	198	6342199	35404059	1222776083	42560092	83344564	25032363	144550526	24990274	902298264
W1.G08.W1b10_FERT14W_6F_126_R1_val_1_bismark_bt2_pe.bam	64625027	45157033	9592176	9875576	242	6207201	38949832	1367146032	47821173	93521832	28023355	162075783	26983719	1008720170
W1.G09.W1b12_WILL5W_421_154_R1_val_1_bismark_bt2_pe.bam	61509324	42380767	9208889	9919413	255	6964926	35415841	1230283027	41612680	88076472	22359582	148438338	21854539	907941416
W1.H06.W1h5_DRY3W_15_69_R1_val_1_bismark_bt2_pe.bam	61802954	42492649	9188368	10121694	243	6710788	35781861	1254681326	43524160	87767535	24996923	149096833	27543685	921752190
W1.H08.W1d10_CASS9W_539_128_R1_val_1_bismark_bt2_pe.bam	58000659	38422451	10701720	8876273	215	5681675	32740776	1149753907	39002579	82624589	21635926	138424932	23392638	844673243
W1.H09.W1c12_DRY8W_45_155_R1_val_1_bismark_bt2_pe.bam	61769701	42645769	9567487	9556194	251	6752293	35893476	1285026483	44346988	88700618	25736886	152402728	23866832	949972431
W2.1.3f1_LATJ_04W_188_R1_val_1_bismark_bt2_pe.bam	67339953	49288593	10065038	7986166	156	5627219	43661374	1696439443	55818335	109978702	31453625	200120421	34171204	1264897156
W2.20.1b3_CASS_04W_519_R1_val_1_bismark_bt2_pe.bam	76104700	54751750	12251338	9101366	246	7452359	47299391	1777628026	53882500	123094605	29707997	216932820	35075205	1318934899
W2.22.1e1_MEAD_08W_4R0_R1_val_1_bismark_bt2_pe.bam	49208050	36181894	6784565	6241470	121	4410789	31771105	1113485530	34941065	80647442	19859736	132998498	19801101	825237688
W2.23.3c2_LATJ_02W_193_R1_val_1_bismark_bt2_pe.bam	73452701	54127001	10193559	9131941	200	7090123	47036878	1672953688	56449905	112238079	31274773	200269450	32873900	1239847581
W2.3.3b7_ALAS_00W_232_R1_val_1_bismark_bt2_pe.bam	54604383	39989459	8891471	5723324	129	3952013	36037446	1372749440	46291839	78945283	26309503	164316323	32066251	1024820241
W2.5.3f6_ALAS_00W_228_R1_val_1_bismark_bt2_pe.bam	64893267	47183260	9905487	7804404	116	5163403	42019857	1399257708	58400463	70749241	36620631	154832423	47011630	1031643320
W2.7.3h11_SVAL_0W_270_R1_val_1_bismark_bt2_pe.bam	58240881	43121541	8469404	6649797	139	6343288	36778253	1287097983	42022345	98110965	24173363	146112761	32910673	943767876
W2.8.3e11_SVAL_0W_267_R1_val_1_bismark_bt2_pe.bam	54241146	40187162	7846085	6207759	140	4581281	35605881	1315153464	43697843	87454815	25533948	153546304	26647366	978273188
W2.A01.W2e7_ALAS0W_17_235_R1_val_1_bismark_bt2_pe.bam	64118360	44332909	10495756	9289518	177	6869345	37463564	1318898487	49722128	80680836	29788391	153251355	30813637	974642140
W2.A02.W2c9_ALAS0W_14_249_R1_val_1_bismark_bt2_pe.bam	74488733	51554432	12865832	10068265	204	9546595	42007837	1453774003	54934902	87298039	34733717	166950473	43277406	1066579466
W2.B01.W2f7_ALAS0W_3_236_R1_val_1_bismark_bt2_pe.bam	56560523	39150501	9754315	7655524	183	7106875	32043626	1139050273	45697008	61997757	28149134	130257245	26556707	846392422
W2.B12.W2e4_LATD4W_8_211_R1_val_1_bismark_bt2_pe.bam	89011908	59987225	14429680	14594668	335	12483597	47503628	1709208686	62832687	114916554	35017401	202608263	34484959	1259348822
W2.C03.W2g12_SVAL16W_16_277_R1_val_1_bismark_bt2_pe.bam	59370930	41897721	7878708	9594318	183	6972419	34925302	1149844143	39590921	81107942	20742865	138616535	20504833	849281047
W2.C12.W2f4_LATD2W_4_212_R1_val_1_bismark_bt2_pe.bam	56328835	39796326	7801249	8731011	249	5996375	33799951	1179087390	43104748	78485364	23895080	140208652	22660186	870733360
W2.D01.W2a8_ALAS0W_16_239_R1_val_1_bismark_bt2_pe.bam	67974496	46403763	12048795	9521682	256	8211735	38192028	1334153895	51619825	77499246	32014085	152994954	36125818	983899967
W2.D12.W2b5_LATC9W_11_216_R1_val_1_bismark_bt2_pe.bam	52466731	37046706	7049934	8369894	197	6190364	30856342	1076270224	37678114	78033363	21790841	128501580	20374193	789892133
W2.E12.W2e5_LATC1W_12_219_R1_val_1_bismark_bt2_pe.bam	51415041	36035970	7431130	7947772	169	5480900	30555070	1106209246	44456746	64315145	26666139	126592616	26570383	817608217
W2.F01.W2d8_ALAS0W_15_242_R1_val_1_bismark_bt2_pe.bam	59374478	41072314	9665372	8636612	180	6824673	34247641	1180357211	44748109	69804711	27561398	136014854	33361142	868866997
